,date,power,temp
764,2018-11-13,50018,24.7
765,2018-11-14,50879,25.3
766,2018-11-15,52271,26.3
767,2018-11-16,52315,26.9
768,2018-11-17,49563,26.6
769,2018-11-18,45898,26.6
770,2018-11-19,48231,23.3
771,2018-11-20,50537,24.8
772,2018-11-21,51564,26.6
773,2018-11-22,46268,18.7
774,2018-11-23,46288,19.1
775,2018-11-24,44443,20.6
776,2018-11-25,41219,21.7
777,2018-11-26,45884,22.0
778,2018-11-27,46800,20.9
779,2018-11-28,47226,21.3
780,2018-11-29,47475,21.5
781,2018-11-30,47976,24.5
782,2018-12-01,46637,24.6
783,2018-12-02,43818,25.8
784,2018-12-03,50119,25.4
785,2018-12-04,51653,25.8
786,2018-12-05,51614,25.3
787,2018-12-06,52068,25.9
788,2018-12-07,49868,24.4
789,2018-12-08,44053,15.8
790,2018-12-09,41647,14.5
791,2018-12-10,45964,16.6
792,2018-12-11,47311,15.3
793,2018-12-12,49236,11.7
794,2018-12-13,50202,13.5
795,2018-12-14,49416,15.6
796,2018-12-15,46389,16.7
797,2018-12-16,43353,17.4
798,2018-12-17,46822,17.9
799,2018-12-18,47068,17.4
800,2018-12-19,47726,20.8
801,2018-12-20,48266,22.5
802,2018-12-21,48398,23.6
803,2018-12-22,46831,24.2
804,2018-12-23,43469,23.2
805,2018-12-24,46649,21.8
806,2018-12-25,47862,21.9
807,2018-12-26,48722,23.5
808,2018-12-27,48477,23.1
809,2018-12-28,46489,17.0
810,2018-12-29,44340,13.2
811,2018-12-30,42016,10.1
812,2018-12-31,42281,11.3
813,2019-01-01,41182,11.8
814,2019-01-02,48531,13.8
815,2019-01-03,50257,15.4
816,2019-01-04,49993,16.6
817,2019-01-05,48717,19.0
818,2019-01-06,44927,19.1
819,2019-01-07,48611,19.4
820,2019-01-08,49801,17.5
821,2019-01-09,50774,13.8
822,2019-01-10,51586,15.1
823,2019-01-11,50532,17.8
824,2019-01-12,48171,20.0
825,2019-01-13,44453,20.7
826,2019-01-14,48460,21.2
827,2019-01-15,49170,20.0
828,2019-01-16,50000,14.2
829,2019-01-17,50703,14.3
830,2019-01-18,50039,16.1
831,2019-01-19,47999,17.6
832,2019-01-20,45098,18.5
833,2019-01-21,49046,16.3
834,2019-01-22,50149,15.8
835,2019-01-23,49725,16.7
836,2019-01-24,49519,17.8
837,2019-01-25,48772,18.1
838,2019-01-26,46464,19.2
839,2019-01-27,43617,17.9
840,2019-01-28,46711,20.2
841,2019-01-29,46530,20.8
842,2019-01-30,45571,22.4
843,2019-01-31,43465,22.5
844,2019-02-01,39947,21.6
845,2019-02-02,34421,21.0
846,2019-02-03,32012,22.2
847,2019-02-04,34616,23.4
848,2019-02-05,29076,23.6
849,2019-02-06,28672,24.7
850,2019-02-07,29334,24.4
851,2019-02-08,30930,25.4
852,2019-02-09,32720,24.6
853,2019-02-10,36554,24.8
854,2019-02-11,40812,21.7
855,2019-02-12,42914,19.7
856,2019-02-13,44780,21.6
857,2019-02-14,45662,23.1
858,2019-02-15,46356,23.4
859,2019-02-16,45069,23.7
860,2019-02-17,42104,22.9
861,2019-02-18,47046,24.1
862,2019-02-19,48484,24.4
863,2019-02-20,49668,25.4
864,2019-02-21,51314,26.0
865,2019-02-22,46579,19.4
866,2019-02-23,44140,16.8
867,2019-02-24,41385,16.1
868,2019-02-25,46182,16.2
869,2019-02-26,47674,17.0
870,2019-02-27,48151,20.5
